query_id,query,num_relevant,relevant_ids
q_490011,"In patients undergoing minimally invasive nasal surgery, what are the implications of concurrent obstructive sleep apnea (OSA) and hypertension on perioperative management to mitigate the risk of major epistaxis?",8,J Otolaryngol Head Neck Surg. 2025 Jan-Dec;54:19160216251390319. doi:; J Otolaryngol Head Neck Surg. 2025 Jan-Dec;54:19160216251390319. doi:; Sleep Med Rev. 2025 Oct 30;84:102194. doi: 10.1016/j.smrv.2025.102194.; J Otolaryngol Head Neck Surg. 2025 Jan-Dec;54:19160216251390319. doi:; J Otolaryngol Head Neck Surg. 2025 Jan-Dec;54:19160216251390319. doi:
q_396326,"What is the difference in research outcomes when researchers explicitly acknowledge positionality and adopt reflexive practices versus when they do not, in terms of managing assumptions and biases?",4,J Hum Lact. 2025 Sep 26:8903344251369433. doi: 10.1177/08903344251369433.; J Hum Lact. 2025 Sep 26:8903344251369433. doi: 10.1177/08903344251369433.; J Hum Lact. 2025 Sep 26:8903344251369433. doi: 10.1177/08903344251369433.; J Adv Nurs. 2025 Nov 14. doi: 10.1111/jan.70392.
q_012800,"What is the proposed mechanism by which internalized HIV stigma (IHS) affects antiretroviral therapy (ART) adherence in people with HIV (PWH), according to the study?",4,J Acquir Immune Defic Syndr. 2025 Nov 6. doi: 10.1097/QAI.0000000000003793.; J Acquir Immune Defic Syndr. 2025 Nov 6. doi: 10.1097/QAI.0000000000003793.; J Acquir Immune Defic Syndr. 2025 Nov 6. doi: 10.1097/QAI.0000000000003793.; AIDS Care. 2025 Nov 10:1-21. doi: 10.1080/09540121.2025.2584602.
q_575573,"What is the potential role of MLS in cisplatin-based lung cancer treatment, and how does it compare to DES in terms of modulating therapeutic efficacy?",3,Turk J Biol. 2025 Sep 13;49(6):690-699. doi: 10.55730/1300-0152.2771. eCollection; Turk J Biol. 2025 Sep 13;49(6):690-699. doi: 10.55730/1300-0152.2771. eCollection; Turk J Biol. 2025 Sep 13;49(6):690-699. doi: 10.55730/1300-0152.2771. eCollection
q_840739,What is the difference in effectiveness between telehealth-delivered Child and Family Traumatic Stress Intervention (CFTSI) and non-specific psychological support in reducing post-traumatic symptoms in children aged 7-17 after recent traumatic events?,5,BMC Psychol. 2025 Nov 12;13(1):1254. doi: 10.1186/s40359-025-03585-0.; BMC Psychol. 2025 Nov 12;13(1):1254. doi: 10.1186/s40359-025-03585-0.; BMC Psychol. 2025 Nov 12;13(1):1254. doi: 10.1186/s40359-025-03585-0.; BMC Psychol. 2025 Nov 12;13(1):1254. doi: 10.1186/s40359-025-03585-0.; Support Care Cancer. 2025 Nov 14;33(12):1062. doi: 10.1007/s00520-025-10113-8.
q_199813,"What was the effect of Cytosorb therapy on bilirubin levels in patients with acute liver failure, according to the retrospective single centre study?",4,Liver Int. 2025 Dec;45(12):e70420. doi: 10.1111/liv.70420.; Liver Int. 2025 Dec;45(12):e70420. doi: 10.1111/liv.70420.; Liver Int. 2025 Dec;45(12):e70420. doi: 10.1111/liv.70420.; J Intensive Med. 2025 Jun 27;5(4):392-399. doi: 10.1016/j.jointm.2025.05.001.
q_927472,What are common comorbidities that patients with a history of congenital heart defect interventions often face in the long term?,10,Clin Perinatol. 2025 Dec;52(4):761-770. doi: 10.1016/j.clp.2025.08.007. Epub 2025; Int J Cardiol. 2025 Nov 5;444:134004. doi: 10.1016/j.ijcard.2025.134004.; Int J Psychiatry Med. 2025 Nov 10:912174251395848. doi:; Europace. 2025 Nov 10:euaf292. doi: 10.1093/europace/euaf292.; Curr Opin Pediatr. 2025 Dec 1;37(6):591-596. doi: 10.1097/MOP.0000000000001517.
q_928684,"What are the major risk factors for hypertension in children and adolescents, according to recent studies?",8,Hypertens Res. 2025 Nov 14. doi: 10.1038/s41440-025-02459-7.; Hypertens Res. 2025 Nov 14. doi: 10.1038/s41440-025-02459-7.; Front Nutr. 2025 Oct 29;12:1562992. doi: 10.3389/fnut.2025.1562992. eCollection; Hypertens Res. 2025 Nov 14. doi: 10.1038/s41440-025-02459-7.; Front Nutr. 2025 Oct 29;12:1562992. doi: 10.3389/fnut.2025.1562992. eCollection
q_027528,"In a setting with socio-economic disparities, how does the effectiveness of long-lasting insecticide-treated nets (LLINs) in malaria control vary when nets are available for no more than two people, and what is the impact of adjusting for socio-economic status (SES) on this effectiveness?",6,Malar J. 2025 Oct 22;24(1):355. doi: 10.1186/s12936-025-05528-x.; Malar J. 2025 Oct 22;24(1):355. doi: 10.1186/s12936-025-05528-x.; Malar J. 2025 Oct 22;24(1):355. doi: 10.1186/s12936-025-05528-x.; Malar J. 2025 Oct 22;24(1):355. doi: 10.1186/s12936-025-05528-x.; Malar J. 2025 Nov 5;24(1):374. doi: 10.1186/s12936-025-05621-1.
q_512219,"In what scenarios can patient-specific algorithmic refinements of continuous glucose monitoring (CGM) data be applied to improve inpatient diabetes care, particularly in reducing intrapersonal mean absolute relative difference (MARD)?",6,Diabetes Care. 2025 Nov 3:dc251494. doi: 10.2337/dc25-1494.; Diabetes Care. 2025 Nov 3:dc251494. doi: 10.2337/dc25-1494.; Diabetes Care. 2025 Nov 3:dc251494. doi: 10.2337/dc25-1494.; Sci Rep. 2025 Nov 13;15(1):39891. doi: 10.1038/s41598-025-23762-w.; J Diabetes Sci Technol. 2025 Nov 10:19322968251388107. doi:
q_662545,"What is the recommended approach for managing chronic total occlusion (CTO) revascularization, and what are the current indications for percutaneous coronary intervention (PCI) in CTO patients?",6,Int J Angiol. 2025 Aug 4;34(4):354-359. doi: 10.1055/a-2655-2536. eCollection; Cureus. 2025 Oct 11;17(10):e94356. doi: 10.7759/cureus.94356. eCollection 2025; Front Cardiovasc Med. 2025 Oct 29;12:1637403. doi: 10.3389/fcvm.2025.1637403.; J Clin Med. 2025 Oct 27;14(21):7626. doi: 10.3390/jcm14217626.; Cureus. 2025 Oct 11;17(10):e94356. doi: 10.7759/cureus.94356. eCollection 2025
q_735267,What are the differences in patients' experiences of ward rounds in a Swedish context compared to other healthcare settings in terms of patient involvement and communication?,5,BMJ Open. 2025 Nov 13;15(11):e103481. doi: 10.1136/bmjopen-2025-103481.; BMJ Open. 2025 Nov 13;15(11):e103481. doi: 10.1136/bmjopen-2025-103481.; BMJ Open. 2025 Nov 13;15(11):e103481. doi: 10.1136/bmjopen-2025-103481.; BMC Pulm Med. 2025 Nov 13;25(1):524. doi: 10.1186/s12890-025-04024-x.; BMC Psychiatry. 2025 Nov 12;25(1):1084. doi: 10.1186/s12888-025-07523-7.
q_271776,"In patients with suspected hand osteoarthritis, what is the relationship between X-ray images showing a modified Kellgren-Lawrence scale score of 2 or higher and the presence of macroscopic cartilage defects in finger joints?",5,Diagnostics (Basel). 2025 Oct 22;15(21):2669. doi: 10.3390/diagnostics15212669.; Diagnostics (Basel). 2025 Oct 22;15(21):2669. doi: 10.3390/diagnostics15212669.; Diagnostics (Basel). 2025 Oct 22;15(21):2669. doi: 10.3390/diagnostics15212669.; Knee Surg Sports Traumatol Arthrosc. 2025 Nov 14. doi: 10.1002/ksa.70191.; Ann Med. 2025 Dec;57(1):2584361. doi: 10.1080/07853890.2025.2584361. Epub 2025
q_559774,In what scenarios might a nanoplatform leveraging noncovalent molecular interactions and photothermal mechanisms be considered for the treatment of immunologically cold tumors to enhance antigen presentation and overcome T-cell exclusion?,17,Acta Biomater. 2025 Nov 11:S1742-7061(25)00835-9. doi:; Acta Biomater. 2025 Nov 11:S1742-7061(25)00835-9. doi:; Acta Biomater. 2025 Nov 11:S1742-7061(25)00835-9. doi:; Acta Biomater. 2025 Nov 11:S1742-7061(25)00835-9. doi:; ACS Nano. 2025 Nov 14. doi: 10.1021/acsnano.5c14796.
q_156610,What is the role of DNA methylation profiles in predicting treatment outcomes of transcranial magnetic stimulation in patients with treatment-resistant depression?,7,BMC Med Genomics. 2025 Nov 12;18(1):181. doi: 10.1186/s12920-025-02240-2.; BMC Med Genomics. 2025 Nov 12;18(1):181. doi: 10.1186/s12920-025-02240-2.; BMC Med Genomics. 2025 Nov 12;18(1):181. doi: 10.1186/s12920-025-02240-2.; BMC Med Genomics. 2025 Nov 12;18(1):181. doi: 10.1186/s12920-025-02240-2.; Front Psychiatry. 2025 Oct 29;16:1671122. doi: 10.3389/fpsyt.2025.1671122.
q_277241,When should clinicians consider assessing standard modifiable cardiovascular risk factors in patients to prevent coronary artery disease?,9,Am J Prev Cardiol. 2025 Oct 15;24:101334. doi: 10.1016/j.ajpc.2025.101334.; BMC Cardiovasc Disord. 2025 Nov 12;25(1):807. doi: 10.1186/s12872-025-05301-7.; PLoS One. 2025 Nov 13;20(11):e0334881. doi: 10.1371/journal.pone.0334881.; Am J Prev Cardiol. 2025 Oct 15;24:101334. doi: 10.1016/j.ajpc.2025.101334.; JMIR Med Inform. 2025 Nov 13;13:e76659. doi: 10.2196/76659.
q_893057,"What is the role of adhesion profile in diagnosing CAD patients, and how does its sensitivity and specificity compare to other diagnostic methods based on the ROC curve analysis?",8,J Thromb Thrombolysis. 2025 Nov 8. doi: 10.1007/s11239-025-03204-0.; J Thromb Thrombolysis. 2025 Nov 8. doi: 10.1007/s11239-025-03204-0.; J Thromb Thrombolysis. 2025 Nov 8. doi: 10.1007/s11239-025-03204-0.; Open Med (Wars). 2025 Nov 4;20(1):20251320. doi: 10.1515/med-2025-1320.; Front Cardiovasc Med. 2025 Oct 29;12:1651935. doi: 10.3389/fcvm.2025.1651935.
q_139811,"What is the potential use of noncoding RNAs, including miRNAs, lncRNAs, circRNAs, and piRNAs, in the management of NAFLD and NASH, specifically as biomarkers for early diagnosis and as therapeutic targets?",9,Int J Mol Sci. 2025 Oct 26;26(21):10402. doi: 10.3390/ijms262110402.; Int J Mol Sci. 2025 Oct 26;26(21):10402. doi: 10.3390/ijms262110402.; Int J Mol Sci. 2025 Oct 26;26(21):10402. doi: 10.3390/ijms262110402.; Pharmacol Ther. 2025 Nov 12:108956. doi: 10.1016/j.pharmthera.2025.108956.; BMC Cancer. 2025 Nov 14;25(1):1768. doi: 10.1186/s12885-025-15237-y.
q_788863,"What is the proposed mechanism by which vagus nerve stimulation may exert therapeutic effects in patients with adenomyosis, based on the observed sympatho-vagal imbalance in these patients?",5,Reprod Fertil. 2025 Oct 14;6(4):e250039. doi: 10.1530/RAF-25-0039. Print 2025 Oct; Reprod Fertil. 2025 Oct 14;6(4):e250039. doi: 10.1530/RAF-25-0039. Print 2025 Oct; Reprod Fertil. 2025 Oct 14;6(4):e250039. doi: 10.1530/RAF-25-0039. Print 2025 Oct; Reprod Fertil. 2025 Oct 14;6(4):e250039. doi: 10.1530/RAF-25-0039. Print 2025 Oct; Neuromodulation. 2025 Oct 17:S1094-7159(25)01031-1. doi:
q_948003,"In patients with preeclampsia, when should clinicians consider measuring angiogenetic factors, such as those involved in the pathogenesis of the disease, to assess disease severity and guide management decisions?",13,Int J Mol Sci. 2025 Oct 27;26(21):10431. doi: 10.3390/ijms262110431.; Int J Mol Sci. 2025 Oct 27;26(21):10431. doi: 10.3390/ijms262110431.; Cureus. 2025 Oct 2;17(10):e93723. doi: 10.7759/cureus.93723. eCollection 2025; Am J Obstet Gynecol. 2025 Nov 11:S0002-9378(25)00828-2. doi:; Taiwan J Obstet Gynecol. 2025 Nov;64(6):996-1003. doi:
q_916695,"In what scenarios might psychosocial factors, in addition to mechanical or pathological causes, be considered when evaluating and managing lactation-related pain in breastfeeding women?",10,Brain Sci. 2025 Oct 8;15(10):1087. doi: 10.3390/brainsci15101087.; Brain Sci. 2025 Oct 8;15(10):1087. doi: 10.3390/brainsci15101087.; Brain Sci. 2025 Oct 8;15(10):1087. doi: 10.3390/brainsci15101087.; BMC Pregnancy Childbirth. 2025 Oct 17;25(1):1112. doi:; J Hum Lact. 2025 Oct 9:8903344251385524. doi: 10.1177/08903344251385524.
q_058223,What is the potential therapeutic effect of disrupting osteopontin (OPN) expression on cognitive impairments associated with neuroHIV in individuals with chronic viral infection?,9,Brain Behav Immun. 2025 Nov 10:106168. doi: 10.1016/j.bbi.2025.106168.; Brain Behav Immun. 2025 Nov 10:106168. doi: 10.1016/j.bbi.2025.106168.; Brain Behav Immun. 2025 Nov 10:106168. doi: 10.1016/j.bbi.2025.106168.; Brain Behav Immun. 2025 Nov 10:106168. doi: 10.1016/j.bbi.2025.106168.; J Extracell Vesicles. 2025 Nov;14(11):e70191. doi: 10.1002/jev2.70191.
q_436377,What compound was isolated from the palm fungus Leptosporella and reported in the Journal of Natural Products in 2025?,2,J Nat Prod. 2025 Nov 10. doi: 10.1021/acs.jnatprod.5c01018.; J Nat Prod. 2025 Nov 10. doi: 10.1021/acs.jnatprod.5c01018.
q_979344,What are the potential long-term consequences of neonatal acute kidney injury (AKI) in children and adults?,16,Pediatr Nephrol. 2025 Nov 14. doi: 10.1007/s00467-025-06978-w.; Front Nephrol. 2025 Oct 22;5:1671763. doi: 10.3389/fneph.2025.1671763.; JAMA Netw Open. 2025 Nov 3;8(11):e2543270. doi:; Pediatr Nephrol. 2025 Nov 14. doi: 10.1007/s00467-025-06978-w.; JAMA Netw Open. 2025 Nov 3;8(11):e2543270. doi:
q_634867,"What are the mechanisms by which vitamin D deficiency contributes to adverse metabolic outcomes, such as insulin resistance and diabetes mellitus, in individuals with Down syndrome?",8,Int J Mol Sci. 2025 Nov 5;26(21):10756. doi: 10.3390/ijms262110756.; Int J Mol Sci. 2025 Nov 5;26(21):10756. doi: 10.3390/ijms262110756.; Int J Mol Sci. 2025 Nov 5;26(21):10756. doi: 10.3390/ijms262110756.; Int J Mol Sci. 2025 Oct 22;26(21):10256. doi: 10.3390/ijms262110256.; Int J Mol Sci. 2025 Oct 22;26(21):10256. doi: 10.3390/ijms262110256.
q_984253,"What is the main difference between the therapeutic approaches aimed at reducing damage and those aimed at enabling regeneration in patients with lung conditions, according to the framework presented?",4,Cells. 2025 Nov 4;14(21):1731. doi: 10.3390/cells14211731.; BMC Pulm Med. 2025 Nov 10;25(1):516. doi: 10.1186/s12890-025-03965-7.; Life Sci. 2025 Dec 1;382:124040. doi: 10.1016/j.lfs.2025.124040. Epub 2025 Oct; J Inflamm Res. 2025 Oct 25;18:14737-14753. doi: 10.2147/JIR.S547454. eCollection
q_243234,"In patients undergoing total knee arthroplasty (TKA) with severe varus deformity (> 10 degrees), what is the most commonly released structure to achieve soft tissue balance?",5,J Orthop Surg Res. 2025 Oct 29;20(1):940. doi: 10.1186/s13018-025-06313-x.; J Orthop Surg Res. 2025 Oct 29;20(1):940. doi: 10.1186/s13018-025-06313-x.; J Orthop Surg Res. 2025 Oct 29;20(1):940. doi: 10.1186/s13018-025-06313-x.; Cureus. 2025 Oct 6;17(10):e93939. doi: 10.7759/cureus.93939. eCollection 2025; Zhongguo Gu Shang. 2025 Oct 25;38(10):1055-60. doi:
q_365792,What are some current and emerging therapies that can counteract inflammatory bone loss?,16,Nat Rev Rheumatol. 2025 Nov 13. doi: 10.1038/s41584-025-01323-9.; Nat Rev Rheumatol. 2025 Nov 13. doi: 10.1038/s41584-025-01323-9.; Molecules. 2025 Oct 22;30(21):4154. doi: 10.3390/molecules30214154.; Cells. 2025 Oct 22;14(21):1649. doi: 10.3390/cells14211649.; Phytomedicine. 2025 Oct 26;148:157472. doi: 10.1016/j.phymed.2025.157472.
q_906613,In what scenarios should clinicians consider implementing AI-based screening models that?,16,Cancers (Basel). 2025 Oct 30;17(21):3491. doi: 10.3390/cancers17213491.; Cancers (Basel). 2025 Oct 30;17(21):3491. doi: 10.3390/cancers17213491.; J Gen Intern Med. 2025 Oct 28. doi: 10.1007/s11606-025-09938-0.; BMC Palliat Care. 2025 Oct 28;24(1):274. doi: 10.1186/s12904-025-01909-w.; JAMIA Open. 2025 Oct 26;8(5):ooaf133. doi: 10.1093/jamiaopen/ooaf133. eCollection
